iter	Passed	Remaining
0	72	72792
1	81	40888
2	98	32677
3	108	27050
4	121	24275
5	136	22648
6	150	21286
7	175	21810
8	193	21258
9	206	20478
10	221	19892
11	244	20154
12	260	19808
13	274	19306
14	286	18844
15	304	18707
16	323	18692
17	342	18706
18	356	18414
19	378	18547
20	389	18177
21	403	17946
22	414	17614
23	430	17506
24	455	17765
25	476	17833
26	490	17669
27	510	17725
28	525	17599
29	549	17775
30	573	17929
31	584	17668
32	596	17468
33	607	17247
34	617	17037
35	632	16925
36	648	16876
37	660	16724
38	671	16554
39	683	16412
40	696	16302
41	715	16319
42	726	16179
43	736	15998
44	748	15887
45	761	15792
46	778	15781
47	792	15722
48	804	15612
49	814	15482
50	833	15500
51	848	15472
52	864	15440
53	877	15364
54	892	15326
55	914	15422
56	933	15435
57	948	15399
58	965	15402
59	982	15398
60	997	15354
61	1011	15303
62	1023	15222
63	1036	15160
64	1047	15074
65	1059	14987
66	1069	14893
67	1080	14802
68	1092	14739
69	1102	14650
70	1112	14556
71	1124	14491
72	1138	14453
73	1153	14433
74	1163	14344
75	1174	14277
76	1184	14195
77	1193	14112
78	1204	14043
79	1213	13956
80	1226	13918
81	1236	13844
82	1247	13787
83	1263	13780
84	1275	13734
85	1287	13685
86	1297	13613
87	1308	13557
88	1319	13506
89	1328	13434
90	1341	13402
91	1358	13404
92	1373	13395
93	1389	13393
94	1412	13458
95	1430	13468
96	1449	13498
97	1466	13497
98	1481	13482
99	1499	13498
100	1514	13483
101	1534	13510
102	1557	13563
103	1573	13553
104	1593	13582
105	1609	13570
106	1624	13557
107	1639	13539
108	1658	13560
109	1675	13556
110	1691	13543
111	1705	13518
112	1717	13483
113	1730	13449
114	1744	13428
115	1762	13428
116	1777	13411
117	1789	13373
118	1808	13392
119	1824	13380
120	1840	13368
121	1853	13340
122	1868	13326
123	1880	13284
124	1892	13245
125	1903	13201
126	1915	13169
127	1927	13134
128	1945	13132
129	1961	13124
130	1974	13095
131	1986	13061
132	1998	13025
133	2010	12994
134	2023	12964
135	2040	12960
136	2052	12929
137	2070	12932
138	2083	12905
139	2097	12882
140	2111	12864
141	2125	12844
142	2139	12824
143	2154	12809
144	2170	12800
145	2183	12771
146	2195	12739
147	2215	12754
148	2234	12760
149	2249	12749
150	2270	12767
151	2285	12751
152	2303	12754
153	2320	12750
154	2335	12733
155	2350	12716
156	2364	12694
157	2378	12672
158	2395	12668
159	2408	12644
160	2422	12626
161	2440	12624
162	2455	12606
163	2467	12579
164	2478	12544
165	2493	12526
166	2506	12502
167	2521	12486
168	2535	12465
169	2547	12437
170	2565	12435
171	2582	12429
172	2593	12397
173	2606	12371
174	2619	12349
175	2634	12336
176	2648	12315
177	2660	12286
178	2672	12257
179	2691	12259
180	2719	12303
181	2736	12297
182	2753	12292
183	2768	12276
184	2781	12251
185	2795	12235
186	2809	12213
187	2834	12241
188	2852	12241
189	2869	12234
190	2886	12224
191	2901	12211
192	2914	12185
193	2927	12161
194	2941	12143
195	2954	12118
196	2971	12113
197	2986	12095
198	3001	12080
199	3013	12052
200	3024	12021
201	3037	11997
202	3052	11984
203	3064	11957
204	3074	11921
205	3086	11895
206	3098	11871
207	3113	11854
208	3126	11830
209	3134	11791
210	3147	11768
211	3158	11741
212	3170	11716
213	3186	11702
214	3200	11683
215	3210	11653
216	3222	11627
217	3235	11608
218	3250	11590
219	3260	11560
220	3271	11531
221	3281	11501
222	3292	11471
223	3303	11442
224	3313	11413
225	3324	11385
226	3334	11356
227	3345	11327
228	3355	11296
229	3369	11279
230	3382	11260
231	3393	11235
232	3405	11209
233	3414	11178
234	3425	11149
235	3435	11122
236	3445	11092
237	3453	11058
238	3463	11029
239	3472	10996
240	3482	10968
241	3492	10940
242	3505	10919
243	3516	10895
244	3525	10863
245	3534	10833
246	3544	10805
247	3553	10773
248	3560	10739
249	3571	10714
250	3582	10689
251	3590	10656
252	3600	10629
253	3607	10594
254	3616	10564
255	3625	10535
256	3641	10527
257	3653	10506
258	3665	10488
259	3674	10459
260	3687	10439
261	3696	10413
262	3707	10390
263	3719	10370
264	3731	10350
265	3743	10331
266	3754	10305
267	3769	10296
268	3783	10280
269	3793	10256
270	3802	10229
271	3811	10200
272	3820	10174
273	3830	10149
274	3841	10127
275	3851	10102
276	3860	10077
277	3870	10052
278	3880	10028
279	3890	10003
280	3902	9986
281	3913	9963
282	3923	9941
283	3934	9918
284	3940	9885
285	3951	9864
286	3963	9846
287	3972	9820
288	3983	9799
289	3993	9776
290	4003	9754
291	4013	9731
292	4023	9707
293	4034	9688
294	4050	9678
295	4059	9654
296	4069	9632
297	4079	9610
298	4089	9587
299	4100	9566
300	4109	9543
301	4119	9521
302	4130	9501
303	4144	9487
304	4155	9468
305	4168	9455
306	4182	9441
307	4194	9423
308	4204	9401
309	4216	9385
310	4229	9370
311	4241	9353
312	4257	9343
313	4272	9333
314	4284	9317
315	4302	9312
316	4322	9313
317	4338	9305
318	4357	9303
319	4369	9286
320	4383	9271
321	4393	9250
322	4404	9231
323	4415	9212
324	4427	9196
325	4441	9182
326	4454	9167
327	4468	9154
328	4480	9137
329	4491	9118
330	4502	9099
331	4512	9079
332	4522	9057
333	4533	9040
334	4545	9022
335	4558	9007
336	4573	8996
337	4589	8989
338	4602	8974
339	4615	8958
340	4626	8940
341	4637	8922
342	4650	8907
343	4665	8896
344	4676	8878
345	4688	8862
346	4703	8851
347	4719	8841
348	4734	8830
349	4747	8815
350	4758	8798
351	4771	8784
352	4788	8776
353	4804	8767
354	4820	8758
355	4836	8749
356	4858	8750
357	4874	8741
358	4888	8728
359	4903	8716
360	4916	8703
361	4931	8691
362	4944	8676
363	4957	8661
364	4972	8651
365	4989	8642
366	5001	8627
367	5014	8612
368	5026	8595
369	5037	8577
370	5049	8561
371	5065	8550
372	5075	8531
373	5087	8515
374	5099	8498
375	5119	8496
376	5143	8499
377	5160	8491
378	5173	8476
379	5188	8466
380	5205	8456
381	5221	8447
382	5237	8436
383	5268	8450
384	5287	8446
385	5305	8439
386	5321	8429
387	5338	8420
388	5353	8409
389	5369	8398
390	5390	8396
391	5408	8388
392	5421	8374
393	5435	8360
394	5447	8343
395	5462	8331
396	5474	8315
397	5487	8300
398	5503	8289
399	5520	8281
400	5541	8277
401	5557	8267
402	5573	8256
403	5587	8243
404	5601	8229
405	5616	8216
406	5628	8201
407	5646	8193
408	5661	8180
409	5678	8171
410	5691	8156
411	5703	8139
412	5717	8126
413	5728	8108
414	5739	8090
415	5750	8072
416	5759	8052
417	5781	8049
418	5793	8033
419	5806	8018
420	5817	8001
421	5831	7987
422	5841	7967
423	5854	7952
424	5866	7936
425	5877	7920
426	5889	7902
427	5900	7885
428	5918	7877
429	5931	7862
430	5944	7848
431	5959	7836
432	5972	7820
433	5985	7806
434	5998	7790
435	6010	7775
436	6024	7761
437	6037	7746
438	6055	7737
439	6070	7726
440	6088	7718
441	6102	7703
442	6113	7686
443	6126	7671
444	6139	7657
445	6153	7643
446	6167	7630
447	6190	7628
448	6207	7617
449	6222	7605
450	6236	7591
451	6259	7588
452	6274	7576
453	6287	7561
454	6301	7547
455	6325	7546
456	6346	7541
457	6357	7523
458	6374	7513
459	6388	7499
460	6403	7487
461	6427	7484
462	6444	7474
463	6460	7463
464	6487	7464
465	6518	7469
466	6535	7459
467	6558	7455
468	6595	7467
469	6629	7475
470	6646	7464
471	6658	7448
472	6670	7432
473	6686	7419
474	6704	7409
475	6715	7392
476	6727	7376
477	6740	7361
478	6754	7347
479	6765	7329
480	6779	7314
481	6790	7297
482	6801	7280
483	6817	7268
484	6830	7253
485	6846	7241
486	6857	7224
487	6868	7205
488	6880	7189
489	6892	7174
490	6906	7159
491	6920	7145
492	6932	7129
493	6948	7117
494	6967	7108
495	6985	7097
496	6999	7084
497	7013	7069
498	7026	7054
499	7037	7037
500	7050	7022
501	7064	7007
502	7082	6998
503	7109	6996
504	7125	6984
505	7140	6971
506	7158	6960
507	7172	6946
508	7184	6930
509	7196	6914
510	7213	6903
511	7231	6892
